  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -17.500  -1.1118   0.08608   0.08340  -0.0338   1.0000   0.0150
 -17.250  -1.1738   0.07238   0.06950  -0.0418   1.0000   0.0147
 -17.000  -1.2296   0.05928   0.05617  -0.0502   1.0000   0.0145
 -16.750  -1.2629   0.04931   0.04600  -0.0575   1.0000   0.0145
 -16.500  -1.2790   0.04253   0.03904  -0.0630   1.0000   0.0146
 -16.250  -1.2852   0.03792   0.03430  -0.0665   1.0000   0.0148
 -16.000  -1.2869   0.03455   0.03080  -0.0685   1.0000   0.0150
 -15.750  -1.2853   0.03207   0.02820  -0.0693   1.0000   0.0153
 -15.500  -1.2815   0.03016   0.02619  -0.0692   1.0000   0.0156
 -15.250  -1.2755   0.02867   0.02460  -0.0684   1.0000   0.0159
 -15.000  -1.2674   0.02752   0.02333  -0.0671   1.0000   0.0161
 -14.750  -1.2667   0.02608   0.02179  -0.0647   1.0000   0.0165
 -14.500  -1.2585   0.02491   0.02057  -0.0629   1.0000   0.0171
 -14.250  -1.2429   0.02417   0.01979  -0.0618   1.0000   0.0176
 -14.000  -1.2251   0.02358   0.01917  -0.0608   1.0000   0.0181
 -13.750  -1.2068   0.02304   0.01857  -0.0597   1.0000   0.0187
 -13.500  -1.1881   0.02254   0.01802  -0.0586   1.0000   0.0192
 -13.250  -1.1690   0.02212   0.01752  -0.0575   1.0000   0.0197
 -13.000  -1.1561   0.02124   0.01656  -0.0556   1.0000   0.0203
 -12.750  -1.1417   0.02051   0.01580  -0.0538   1.0000   0.0209
 -12.500  -1.1239   0.02009   0.01536  -0.0523   1.0000   0.0215
 -12.250  -1.1058   0.01971   0.01495  -0.0508   1.0000   0.0220
 -12.000  -1.0881   0.01933   0.01452  -0.0492   1.0000   0.0226
 -11.750  -1.0704   0.01896   0.01410  -0.0475   1.0000   0.0232
 -11.500  -1.0519   0.01868   0.01375  -0.0459   1.0000   0.0237
 -11.250  -1.0327   0.01847   0.01350  -0.0444   1.0000   0.0240
 -11.000  -1.0222   0.01737   0.01233  -0.0419   1.0000   0.0250
 -10.750  -1.0046   0.01696   0.01190  -0.0402   1.0000   0.0257
 -10.500  -0.9766   0.01657   0.01149  -0.0406   0.9993   0.0264
 -10.250  -0.9448   0.01617   0.01105  -0.0418   0.9981   0.0272
 -10.000  -0.9125   0.01582   0.01065  -0.0430   0.9968   0.0280
  -9.750  -0.8793   0.01556   0.01034  -0.0443   0.9956   0.0286
  -9.500  -0.8484   0.01474   0.00944  -0.0455   0.9945   0.0296
  -9.250  -0.8172   0.01411   0.00879  -0.0467   0.9932   0.0306
  -9.000  -0.7863   0.01373   0.00840  -0.0475   0.9911   0.0315
  -8.750  -0.7542   0.01336   0.00801  -0.0486   0.9892   0.0324
  -8.500  -0.7211   0.01301   0.00762  -0.0499   0.9876   0.0333
  -8.250  -0.6870   0.01271   0.00728  -0.0514   0.9863   0.0340
  -8.000  -0.6520   0.01227   0.00679  -0.0530   0.9851   0.0347
  -7.750  -0.6166   0.01161   0.00610  -0.0550   0.9840   0.0364
  -7.500  -0.5850   0.01122   0.00571  -0.0558   0.9805   0.0375
  -7.250  -0.5532   0.01089   0.00535  -0.0567   0.9773   0.0386
  -7.000  -0.5207   0.01059   0.00503  -0.0578   0.9746   0.0398
  -6.750  -0.4884   0.01033   0.00474  -0.0587   0.9720   0.0407
  -6.500  -0.4627   0.00998   0.00435  -0.0582   0.9655   0.0422
